"id","active","name","keyword","slug","description","ParentId","icon","picture","otc_id","ProviderType","IconImageUrl","ApproxWeight","is_top","user_id","created_at","updated_at","deleted_at"
"733","2021-10-04 10:50:06","Chinese dominoes","Chinese dominoes","chinese-dominoes",NULL,"otc-1953",NULL,NULL,"otc-1959","Taobao",NULL,"0.9",NULL,"1","2021-10-04 10:50:06","2021-10-04 10:50:06",NULL
"734","2021-10-04 10:50:06","Bones","Bones","bones",NULL,"otc-1953",NULL,NULL,"otc-1960","Taobao",NULL,"0.1",NULL,"1","2021-10-04 10:50:06","2021-10-04 10:50:06",NULL
"735","2021-10-04 10:50:06","Chips for table games","Chips for table games","chips-for-table-games",NULL,"otc-1953",NULL,NULL,"otc-1961","Taobao",NULL,"0.2",NULL,"1","2021-10-04 10:50:06","2021-10-04 10:50:06",NULL
"736","2021-10-04 10:50:06","Poker cards, attributes","Poker cards, attributes","poker-cards-attributes",NULL,"otc-1953",NULL,NULL,"otc-1962","Taobao",NULL,"0.4",NULL,"1","2021-10-04 10:50:06","2021-10-04 10:50:06",NULL
"737","2021-10-04 10:50:06","Chinese Chess","Chinese Chess","chinese-chess",NULL,"otc-1953",NULL,NULL,"otc-1965","Taobao",NULL,"0.9",NULL,"1","2021-10-04 10:50:06","2021-10-04 10:50:06",NULL
"738","2021-10-04 10:50:06","Chess","Chess","chess",NULL,"otc-1953",NULL,NULL,"otc-1966","Taobao",NULL,"3",NULL,"1","2021-10-04 10:50:06","2021-10-04 10:50:06",NULL
"739","2021-10-04 10:50:06","Chinese Checkers","Chinese Checkers","chinese-checkers",NULL,"otc-1953",NULL,NULL,"otc-1967","Taobao",NULL,"0.45",NULL,"1","2021-10-04 10:50:06","2021-10-04 10:50:06",NULL
"740","2021-10-04 10:50:06","Monopoly","Monopoly","monopoly",NULL,"otc-1953",NULL,NULL,"otc-1968","Taobao",NULL,"0.8",NULL,"1","2021-10-04 10:50:06","2021-10-04 10:50:06",NULL
"741","2021-10-04 10:50:06","Roulette","Roulette","roulette",NULL,"otc-1953",NULL,NULL,"otc-1969","Taobao",NULL,"0.8",NULL,"1","2021-10-04 10:50:06","2021-10-04 10:50:06",NULL
"742","2021-10-04 10:50:06","Rubik's Cube","Rubik's Cube","rubiks-cube",NULL,"otc-1953",NULL,NULL,"otc-1970","Taobao",NULL,"0.2",NULL,"1","2021-10-04 10:50:06","2021-10-04 10:50:06",NULL
